.i 83
.o 94
.p 353
----------------------------0001101-01-000000---000-------------------------------- 0000000000000000000000000111000000000000000000000000000000000000000000000000000000000000000000
----------------------------0001101--1-000000--0----------------------------------- 0000000000000000000000000111000000000000000000000000000000000000000000000000000000000000000000
----------------------------0000--1----00000001------------------------------------ 0000000000000000000000000100100000000000000000000000000000000000000000000000000000000000000000
----------------------------0000--1----0000001------------------------------------- 0000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000
-------------------------------11------000000011--1-------------------------------- 0000000000000000000000000100100000000000000000000000000000000000000000000000000000000000000000
-------------------------------11------000000011-1--------------------------------- 0000000000000000000000000100100000000000000000000000000000000000000000000000000000000000000000
-------------------------------11------0000000111---------------------------------- 0000000000000000000000000100100000000000000000000000000000000000000000000000000000000000000000
-------------------------------11---1--000000011----------------------------------- 0000000000000000000000000100100000000000000000000000000000000000000000000000000000000000000000
-------------------------------10011-1-000000-------------------------------------- 0000000000000000000000000111000000000000000000000000000000000000000000000000000000000000000000
----------------------------1--0101----000000-------------------------------------- 0000000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000
-----------------------------1-0101----000000-------------------------------------- 0000000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000
-------------------------------11------0000001-1--1-------------------------------- 0000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000
-------------------------------11------0000001-1-1--------------------------------- 0000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000
-------------------------------11------0000001-11---------------------------------- 0000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000
------------------------------10101----000000-------------------------------------- 0000000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000
-------------------------------11---1--0000001-1----------------------------------- 0000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000
----------------------------1--11------00000001------------------------------------ 0000000000000000000000000100100000000000000000000000000000000000000000000000000000000000000000
-----------------------------1-11------00000001------------------------------------ 0000000000000000000000000100100000000000000000000000000000000000000000000000000000000000000000
------------------------------111------00000001------------------------------------ 0000000000000000000000000100100000000000000000000000000000000000000000000000000000000000000000
--------------------------------0--0---00000001------------------------------------ 0000000000000000000000000100100000000000000000000000000000000000000000000000000000000000000000
----------------------------1--11------0000001------------------------------------- 0000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000
-----------------------------1-11------0000001------------------------------------- 0000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000
------------------------------111------0000001------------------------------------- 0000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000
-------------------------------1-----0-00000001------------------------------------ 0000000000000000000000000100100000000000000000000000000000000000000000000000000000000000000000
-------------------------------00------00000001------------------------------------ 0000000000000000000000000100100000000000000000000000000000000000000000000000000000000000000000
1------------001101------------------------------------001------------------------- 0000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000
